age,job,marital,education,default,housing,loan,helper,contact,month,year,date,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
33,services,married,high.school,unknown,yes,no,33servicesmarriedhigh.schoolunknownyesnomon393,telephone,jun,2008,,mon,393,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
51,technician,single,university.degree,no,no,no,51techniciansingleuniversity.degreenononofri151,cellular,jun,2009,,fri,151,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,no
30,blue-collar,single,basic.4y,unknown,yes,no,30blue-collarsinglebasic.4yunknownyesnotue256,telephone,jun,2008,,tue,256,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
48,technician,married,university.degree,no,no,no,48technicianmarrieduniversity.degreenononothu42,cellular,aug,2008,,thu,42,7,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
28,blue-collar,single,basic.9y,no,yes,no,28blue-collarsinglebasic.9ynoyesnowed525,telephone,jun,2008,,wed,525,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
36,blue-collar,married,basic.6y,no,yes,no,36blue-collarmarriedbasic.6ynoyesnowed57,telephone,may,2008,,wed,57,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
46,management,divorced,high.school,no,no,no,46managementdivorcedhigh.schoolnononowed499,cellular,nov,2008,,wed,499,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
31,technician,single,unknown,no,yes,no,31techniciansingleunknownnoyesnowed84,cellular,may,2009,,wed,84,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
20,student,single,unknown,no,no,no,20studentsingleunknownnononomon137,cellular,oct,2010,,mon,137,3,999,3,failure,-1.1,94.601,-49.5,0.977,4963.6,no
35,services,married,high.school,unknown,yes,no,35servicesmarriedhigh.schoolunknownyesnotue31,cellular,may,2009,,tue,31,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
38,blue-collar,married,basic.9y,unknown,unknown,unknown,38blue-collarmarriedbasic.9yunknownunknownunknownfri430,telephone,jun,2008,,fri,430,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
76,retired,married,university.degree,no,no,no,76retiredmarrieduniversity.degreenononothu126,cellular,aug,2010,,thu,126,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,no
45,entrepreneur,divorced,professional.course,no,yes,no,45entrepreneurdivorcedprofessional.coursenoyesnotue211,cellular,jul,2008,,tue,211,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
32,housemaid,married,basic.4y,no,yes,yes,32housemaidmarriedbasic.4ynoyesyesfri340,cellular,may,2009,,fri,340,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
39,management,single,university.degree,unknown,no,no,39managementsingleuniversity.degreeunknownnonothu412,cellular,may,2009,,thu,412,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
32,admin.,married,university.degree,no,no,no,32admin.marrieduniversity.degreenononothu132,telephone,nov,2008,,thu,132,1,999,0,nonexistent,-0.1,93.2,-42,4.592,5195.8,no
29,admin.,single,basic.9y,no,no,no,29admin.singlebasic.9ynononomon79,cellular,may,2009,,mon,79,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
44,services,married,professional.course,no,no,no,44servicesmarriedprofessional.coursenononomon341,cellular,aug,2008,,mon,341,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
32,services,married,high.school,no,no,yes,32servicesmarriedhigh.schoolnonoyesfri157,cellular,jul,2008,,fri,157,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
56,retired,married,university.degree,no,yes,no,56retiredmarrieduniversity.degreenoyesnowed252,cellular,jun,2009,,wed,252,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,no
33,blue-collar,married,basic.9y,no,yes,no,33blue-collarmarriedbasic.9ynoyesnothu263,cellular,may,2009,,thu,263,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
39,management,married,high.school,no,no,no,39managementmarriedhigh.schoolnononofri215,cellular,aug,2008,,fri,215,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
24,technician,married,university.degree,no,yes,yes,24technicianmarrieduniversity.degreenoyesyestue89,cellular,sep,2009,,tue,89,2,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,yes
33,admin.,single,university.degree,no,yes,no,33admin.singleuniversity.degreenoyesnothu143,cellular,may,2009,,thu,143,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
58,entrepreneur,divorced,university.degree,no,no,no,58entrepreneurdivorceduniversity.degreenononothu40,telephone,jun,2008,,thu,40,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
29,admin.,single,university.degree,no,yes,no,29admin.singleuniversity.degreenoyesnofri10,telephone,jun,2008,,fri,10,27,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
31,admin.,married,university.degree,no,yes,no,31admin.marrieduniversity.degreenoyesnothu113,cellular,aug,2008,,thu,113,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
27,admin.,married,university.degree,no,no,no,27admin.marrieduniversity.degreenononowed191,telephone,may,2008,,wed,191,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
60,admin.,divorced,professional.course,no,yes,no,60admin.divorcedprofessional.coursenoyesnowed481,cellular,sep,2010,,wed,481,1,999,1,failure,-1.1,94.199,-37.5,0.886,4963.6,yes
55,entrepreneur,married,professional.course,no,yes,yes,55entrepreneurmarriedprofessional.coursenoyesyesmon233,cellular,oct,2009,,mon,233,1,999,2,failure,-3.4,92.431,-26.9,0.739,5017.5,no
37,blue-collar,married,basic.9y,no,yes,no,37blue-collarmarriedbasic.9ynoyesnowed204,cellular,may,2009,,wed,204,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
52,admin.,married,unknown,no,yes,no,52admin.marriedunknownnoyesnowed403,telephone,apr,2010,,wed,403,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7,yes
46,services,married,high.school,no,yes,no,46servicesmarriedhigh.schoolnoyesnomon180,cellular,apr,2009,,mon,180,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
42,blue-collar,divorced,basic.6y,no,yes,no,42blue-collardivorcedbasic.6ynoyesnowed16,cellular,may,2009,,wed,16,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
35,admin.,single,university.degree,no,yes,no,35admin.singleuniversity.degreenoyesnomon447,cellular,jul,2008,,mon,447,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
49,technician,divorced,unknown,no,yes,yes,49techniciandivorcedunknownnoyesyesthu81,cellular,oct,2009,,thu,81,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,no
29,services,divorced,high.school,no,no,yes,29servicesdivorcedhigh.schoolnonoyesmon361,telephone,jun,2008,,mon,361,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
32,blue-collar,married,basic.9y,no,no,no,32blue-collarmarriedbasic.9ynononomon1091,cellular,nov,2008,,mon,1091,2,5,1,success,-0.1,93.2,-42,4.191,5195.8,yes
37,self-employed,married,university.degree,no,no,no,37self-employedmarrieduniversity.degreenononofri395,cellular,may,2009,,fri,395,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
39,technician,single,professional.course,unknown,no,no,39techniciansingleprofessional.courseunknownnonomon432,telephone,jun,2008,,mon,432,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,yes
51,services,married,high.school,unknown,yes,no,51servicesmarriedhigh.schoolunknownyesnomon596,telephone,jul,2008,,mon,596,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
28,admin.,single,high.school,no,yes,no,28admin.singlehigh.schoolnoyesnotue59,cellular,may,2009,,tue,59,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
34,management,married,university.degree,no,yes,no,34managementmarrieduniversity.degreenoyesnowed77,cellular,may,2009,,wed,77,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
31,technician,single,high.school,no,yes,yes,31techniciansinglehigh.schoolnoyesyestue768,cellular,aug,2008,,tue,768,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
31,admin.,married,university.degree,no,yes,no,31admin.marrieduniversity.degreenoyesnothu96,cellular,aug,2008,,thu,96,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
31,admin.,single,university.degree,no,yes,no,31admin.singleuniversity.degreenoyesnowed357,telephone,jun,2008,,wed,357,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
38,self-employed,single,university.degree,no,no,no,38self-employedsingleuniversity.degreenononothu459,telephone,may,2008,,thu,459,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
33,unemployed,married,basic.9y,no,no,no,33unemployedmarriedbasic.9ynononofri11,telephone,jun,2008,,fri,11,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
32,technician,single,university.degree,no,no,no,32techniciansingleuniversity.degreenononotue264,cellular,aug,2008,,tue,264,12,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
54,technician,married,professional.course,unknown,yes,no,54technicianmarriedprofessional.courseunknownyesnomon698,cellular,apr,2009,,mon,698,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
41,admin.,divorced,high.school,no,yes,no,41admin.divorcedhigh.schoolnoyesnotue204,telephone,jun,2008,,tue,204,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
59,services,married,basic.4y,unknown,no,no,59servicesmarriedbasic.4yunknownnonothu93,cellular,aug,2008,,thu,93,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
57,retired,married,university.degree,no,yes,no,57retiredmarrieduniversity.degreenoyesnothu374,cellular,apr,2009,,thu,374,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no
38,entrepreneur,divorced,university.degree,no,yes,no,38entrepreneurdivorceduniversity.degreenoyesnothu252,cellular,nov,2008,,thu,252,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
46,admin.,married,university.degree,no,yes,no,46admin.marrieduniversity.degreenoyesnotue158,telephone,may,2008,,tue,158,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,unemployed,single,university.degree,no,yes,yes,37unemployedsingleuniversity.degreenoyesyestue95,cellular,nov,2008,,tue,95,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
47,services,single,basic.9y,no,unknown,unknown,47servicessinglebasic.9ynounknownunknownthu835,telephone,jun,2008,,thu,835,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
45,admin.,single,university.degree,no,no,no,45admin.singleuniversity.degreenononothu505,cellular,aug,2008,,thu,505,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
36,blue-collar,married,basic.6y,no,yes,no,36blue-collarmarriedbasic.6ynoyesnowed16,telephone,jul,2008,,wed,16,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
40,unemployed,single,high.school,no,yes,no,40unemployedsinglehigh.schoolnoyesnomon300,cellular,jul,2008,,mon,300,5,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
38,blue-collar,married,basic.9y,no,no,no,38blue-collarmarriedbasic.9ynononotue180,cellular,nov,2008,,tue,180,2,999,1,failure,-0.1,93.2,-42,4.153,5195.8,no
44,blue-collar,married,high.school,unknown,no,no,44blue-collarmarriedhigh.schoolunknownnonotue390,telephone,jun,2008,,tue,390,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
25,self-employed,married,university.degree,no,yes,no,25self-employedmarrieduniversity.degreenoyesnofri274,telephone,may,2008,,fri,274,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
30,blue-collar,single,basic.6y,no,yes,no,30blue-collarsinglebasic.6ynoyesnotue135,telephone,jul,2008,,tue,135,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
43,management,married,professional.course,no,no,no,43managementmarriedprofessional.coursenononotue257,cellular,nov,2008,,tue,257,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
58,retired,married,basic.6y,unknown,no,no,58retiredmarriedbasic.6yunknownnonomon268,telephone,may,2008,,mon,268,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
31,technician,married,professional.course,no,yes,no,31technicianmarriedprofessional.coursenoyesnowed157,telephone,may,2008,,wed,157,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
53,management,married,university.degree,no,no,no,53managementmarrieduniversity.degreenononotue477,cellular,jul,2008,,tue,477,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
52,admin.,married,unknown,no,no,no,52admin.marriedunknownnononotue91,cellular,aug,2008,,tue,91,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
37,management,married,university.degree,unknown,no,yes,37managementmarrieduniversity.degreeunknownnoyesfri76,cellular,apr,2009,,fri,76,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
58,admin.,married,high.school,unknown,yes,no,58admin.marriedhigh.schoolunknownyesnotue103,cellular,jul,2008,,tue,103,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
37,services,married,high.school,no,yes,yes,37servicesmarriedhigh.schoolnoyesyesthu436,cellular,may,2009,,thu,436,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
38,admin.,single,unknown,no,yes,no,38admin.singleunknownnoyesnofri191,cellular,may,2009,,fri,191,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
33,services,single,basic.9y,no,yes,no,33servicessinglebasic.9ynoyesnothu483,cellular,apr,2009,,thu,483,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
45,services,married,high.school,unknown,yes,no,45servicesmarriedhigh.schoolunknownyesnofri250,cellular,may,2009,,fri,250,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
44,entrepreneur,married,professional.course,no,no,no,44entrepreneurmarriedprofessional.coursenononomon259,telephone,may,2008,,mon,259,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
38,blue-collar,married,basic.6y,no,yes,no,38blue-collarmarriedbasic.6ynoyesnothu389,telephone,jul,2008,,thu,389,2,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no
34,blue-collar,married,basic.9y,no,no,no,34blue-collarmarriedbasic.9ynononotue7,telephone,jun,2010,,tue,7,1,999,0,nonexistent,-1.7,94.055,-39.8,0.702,4991.6,no
47,management,married,university.degree,no,yes,no,47managementmarrieduniversity.degreenoyesnowed123,cellular,jul,2009,,wed,123,1,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,no
59,admin.,married,university.degree,no,yes,yes,59admin.marrieduniversity.degreenoyesyeswed92,cellular,jul,2009,,wed,92,1,999,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2,no
51,blue-collar,married,basic.4y,unknown,yes,yes,51blue-collarmarriedbasic.4yunknownyesyesthu297,cellular,aug,2008,,thu,297,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
31,blue-collar,married,basic.6y,no,yes,no,31blue-collarmarriedbasic.6ynoyesnowed406,telephone,jun,2008,,wed,406,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
56,management,married,university.degree,no,yes,yes,56managementmarrieduniversity.degreenoyesyeswed104,cellular,nov,2008,,wed,104,1,999,1,failure,-0.1,93.2,-42,4.12,5195.8,no
39,admin.,married,university.degree,no,no,no,39admin.marrieduniversity.degreenononomon135,telephone,jun,2008,,mon,135,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
41,entrepreneur,married,university.degree,no,yes,no,41entrepreneurmarrieduniversity.degreenoyesnotue854,cellular,nov,2008,,tue,854,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,yes
41,management,divorced,basic.6y,no,yes,no,41managementdivorcedbasic.6ynoyesnothu147,cellular,nov,2008,,thu,147,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
53,services,married,high.school,unknown,no,no,53servicesmarriedhigh.schoolunknownnonothu203,telephone,may,2008,,thu,203,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
35,blue-collar,married,high.school,no,no,yes,35blue-collarmarriedhigh.schoolnonoyesmon149,cellular,jul,2008,,mon,149,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
58,retired,married,basic.9y,no,no,yes,58retiredmarriedbasic.9ynonoyeswed144,cellular,may,2009,,wed,144,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
25,self-employed,married,professional.course,no,yes,no,25self-employedmarriedprofessional.coursenoyesnowed394,telephone,jun,2008,,wed,394,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
35,blue-collar,divorced,basic.9y,no,yes,no,35blue-collardivorcedbasic.9ynoyesnotue523,cellular,may,2009,,tue,523,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
28,services,single,high.school,no,no,no,28servicessinglehigh.schoolnononowed73,cellular,jul,2008,,wed,73,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
55,blue-collar,married,professional.course,no,yes,yes,55blue-collarmarriedprofessional.coursenoyesyesfri197,cellular,may,2009,,fri,197,3,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
54,entrepreneur,married,basic.4y,unknown,no,yes,54entrepreneurmarriedbasic.4yunknownnoyesthu108,telephone,may,2008,,thu,108,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
45,technician,divorced,basic.9y,unknown,no,no,45techniciandivorcedbasic.9yunknownnonowed80,cellular,jul,2008,,wed,80,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
32,blue-collar,married,basic.9y,no,yes,no,32blue-collarmarriedbasic.9ynoyesnothu114,cellular,apr,2009,,thu,114,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
50,admin.,married,basic.9y,unknown,yes,no,50admin.marriedbasic.9yunknownyesnothu122,cellular,aug,2008,,thu,122,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
75,retired,married,basic.4y,no,no,no,75retiredmarriedbasic.4ynononotue109,cellular,apr,2009,,tue,109,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,yes
33,self-employed,divorced,unknown,no,no,no,33self-employeddivorcedunknownnononowed1161,telephone,may,2008,,wed,1161,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
29,management,married,university.degree,no,no,yes,29managementmarrieduniversity.degreenonoyeswed181,cellular,aug,2008,,wed,181,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
45,management,married,university.degree,no,yes,no,45managementmarrieduniversity.degreenoyesnothu239,cellular,may,2009,,thu,239,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
38,admin.,divorced,university.degree,no,no,no,38admin.divorceduniversity.degreenononomon360,cellular,apr,2009,,mon,360,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes
24,services,single,professional.course,no,yes,no,24servicessingleprofessional.coursenoyesnomon314,telephone,may,2008,,mon,314,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
41,technician,married,professional.course,no,yes,no,41technicianmarriedprofessional.coursenoyesnomon984,cellular,aug,2008,,mon,984,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
58,retired,divorced,high.school,no,yes,no,58retireddivorcedhigh.schoolnoyesnotue663,cellular,jun,2009,,tue,663,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
34,admin.,married,university.degree,no,no,yes,34admin.marrieduniversity.degreenonoyeswed157,telephone,may,2008,,wed,157,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,admin.,married,university.degree,no,no,no,34admin.marrieduniversity.degreenononomon141,cellular,nov,2010,,mon,141,2,999,0,nonexistent,-1.1,94.767,-50.8,1.05,4963.6,no
37,technician,divorced,professional.course,no,no,no,37techniciandivorcedprofessional.coursenononowed374,telephone,may,2008,,wed,374,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
53,blue-collar,divorced,basic.4y,no,no,no,53blue-collardivorcedbasic.4ynononowed706,telephone,jun,2008,,wed,706,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
54,technician,divorced,professional.course,no,yes,yes,54techniciandivorcedprofessional.coursenoyesyestue797,cellular,jul,2008,,tue,797,14,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
32,technician,divorced,professional.course,no,yes,no,32techniciandivorcedprofessional.coursenoyesnotue250,cellular,nov,2008,,tue,250,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
42,admin.,married,high.school,no,yes,no,42admin.marriedhigh.schoolnoyesnofri311,cellular,jul,2008,,fri,311,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
28,technician,single,professional.course,no,yes,no,28techniciansingleprofessional.coursenoyesnothu63,cellular,aug,2009,,thu,63,2,3,1,success,-2.9,92.201,-31.4,0.851,5076.2,yes
33,services,single,high.school,no,yes,no,33servicessinglehigh.schoolnoyesnofri111,telephone,may,2008,,fri,111,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
